الماركة,اسم المنتج,الفئة,الكمية
Nestlé,Nescafé Classic,"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Préparations pour boissons,Cafés,Boissons instantanées,Café Arabica,Cafés solubles,Café au lait en poudre soluble",45 g
Danone,Jamila,"Beverages and beverages preparations,Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented dairy desserts with fruits,Fermented milk drinks,Yogurts,Fruit yogurts,Yogurt drinks",165 g
Aïn lfrane,Eau,"Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles","1,5 l"
Aquafina,Aquafina 50cl,"Boissons,Eaux,Eaux de table",50cl
solis,sauce tomate cuisinée,Sauces tomate,350 g
Coca-Cola,Coca-Cola Zero,"Beverages and beverages preparations,Beverages,Carbonated drinks,Artificially sweetened beverages,Sodas,Diet beverages,Non-alcoholic beverages,Colas,Diet sodas,Diet cola soft drink,kosher",330 ml e
Henry's,Sable coco Henry s 42g,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés,Sablés à la noix de coco",42g
Alpro,Geröstete Mandel Ohne Zucker,"en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Alimentos à base de plantas,en:Dairy substitutes,Substitutos do leite,Nozes e seus produtos,Bebidas à base de plantas,Leites de planta,Leites de frutos secos,Bebidas de amêndoa",1 l
Aïn Atlas,Aïn Atlas 50cl,"Boissons,Eaux,Eaux de sources,Eaux minérales",50cl
"Alesto,Alesto Lidl,Alesto Selection,Lidl",,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Mélanges de fruits à coque",200g
Oatly,Oat Drink Barista Edition,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks",1l
Dost,Lait U.H.T entier,"Produits laitiers, Laits, Laits homogénéisés, Laits UHT, Laits entiers, Laits de vache",1L
la Prairie,margarine la prairie 225g,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines, en:salted-spreads",250g
"Alesto,Lidl",,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Shelled nuts,Walnuts,Walnut kernels",200 g
"Nutella,Ferrero",Biscuits croquants au coeur onctueux de Nutella®,Biscoitos recheados,304 g
wasa,Tartine croustillante Authentique,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Pains,Pains croustillants,Pains croustillants complets, Snacks salés, Amuse-gueules, Chips et frites, Chips",275 g
Lindt,Excellence Noir Intense 70% Cacao,"Produits fermentés,Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",100 g
,Familia 200g,"Aliments et boissons à base de végétaux, Produits laitiers, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Matières grasses à tartiner, Matières grasses végétales, Matières grasses animales, Matière grasse laitière, en:dairy-spread, Margarines, Beurres",1920 unit
Star,Star vinaigre de table BLANC,"Condiments,Vinaigres,Vinaigres blancs",50cl
Gervais,,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,Fresh cheeses,fr:Fromages blancs,fr:Fromages blancs natures",80g
Rigoni Di Asiago,Nocciolata,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao",250 g
Bonne Maman,Pâte à tartiner noisettes et cacao,"Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads",360 g
